code,name
1333,マルハニチロ
1332,日水
1605,国際石開帝石
1802,大林組
1801,大成建
1963,日揮HD
1812,鹿島
1803,清水健
1925,ハウス
1808,長谷工
1928,積ハウス
1721,コムシスHD
2002,日清G
2269,明治HD
2914,JT
2503,キリンHD
2501,サッポロHD
2801,キッコマン
2502,アサヒ
2802,味の素
2531,宝HLD
2871,ニチレイ
2282,日ハム
3101,東洋紡
3401,帝人
3402,東レ
3103,ユニチカ
3863,日本紙
3861,王子HD
6988,日東電
4021,日産化
4061,デンカ
4901,富士フイルム
4004,昭電工
4911,資生堂
4043,トクヤマ
4183,三井化学
4042,東ソー
3407,旭化成
4208,宇部興
4188,三菱ケミHD
3405,クラレ
4005,住友化
4631,DIC
4063,信越化
4452,花王
4519,中外薬
4578,大塚HD
4506,大日本住友
4502,武田
4507,塩野義
4523,エーザイ
4568,第一三共
5019,出光興産
5020,ENEOS
5101,AGC
5202,板硝子
5214,日電硝
5232,住友大阪
5233,太平洋セメ
5301,東海力
5332,TOTO
5333,ガイシ
5401,日本製鉄
5406,神戸鋼
5411,JFE
5541,太平金
3436,SUMCO
5703,日軽金HD
5706,三井金
5707,東邦鉛
5711,三菱マ
5713,住友鉱
5714,DOWA
5801,古川電
5802,住友電
5803,フジクラ
5901,洋缶HD
5631,日製鋼
6103,オークマ
6113,アマダ
6301,コマツ
6302,住友重
6305,日立建機
6326,クボタ
6361,荏原
6367,ダイキン
6471,日精工
6472,NTN
6473,ジェイテクト
7004,日立造
7011,三菱重
7013,IHI
3105,日清紡HD
6479,ミネベア
6501,日立
6503,三菱電
6504,富士電機
6506,安川電
6645,オムロン
6674,GSユアサ
6701,NEC
6702,富士通
6703,OKI
6724,エプソン
6752,パナソニック
6758,ソニー
6762,TDK
6770,アルプスアル
6841,横川電
6857,アドテスト
6902,デンソー
6952,カシオ
6954,ファナック
6971,京セラ
6976,太陽誘電
7735,スクリン
7751,キヤノン
7752,リコー
8035,東エレク
7003,三井E＆S
7012,川重
7201,日産自
7202,いすゞ
7203,トヨタ
7205,日野自
7211,三菱自
7261,マツダ
7267,ホンダ
7269,スズキ
7270,SUBARU
7272,ヤマハ発
4543,テルモ
4902,コニカミノル
7731,ニコン
7733,オリンパス
7762,シチズン
7832,バンナムHD
7911,凸版
7912,大日本印
7951,ヤマハ発
2768,双日
8001,伊藤忠
8002,丸紅
8015,トヨタ通商
8031,三井物
9983,ファストリ
8233,高島屋
3099,三越伊勢丹
8267,イオン
3086,ｊフロント
3382,セブン&アイ
8252,丸井G
8304,あおぞら銀
8303,新生銀
8354,ふくおかFG
8355,静岡銀
8331,千葉銀
8308,りそなHD
8306,三菱UFJ
7186,コンコルディ
8411,みずほFG
8316,三井住友FG
8309,三井住友トラ
8601,大和
8604,野村
8628,松井
8630,SOMPPO
8795,T&D
8750,第一生命HD
8766,東京海上
8725,MS＆AD
8253,クレセゾン
8697,日本取引所
8830,住友不
8801,三井不
3289,東急不HD
8804,東建物
8802,菱地所
9021,JR西日本
9008,京王
9020,JR東日本
9005,東急
9007,小田急
9001,東武
9009,京成
9022,JR東海
9064,ヤマトHD
9062,日通
9107,川崎汽
9104,商船三井
9101,郵船
9202,ANAHD
9301,三菱倉
9433,KDDI
9412,スカパーJ
9432,NTT
9437,NTTドコモ
9434,SB
9613,NTTデータ
9984,SBG
9502,中部電
9501,東電HD
9503,関西電
9531,東ガス
9532,大ガス
9735,セコム
2432,ディーエヌエ
4324,電通グループ
6178,日本郵政
9766,コナミHD
4689,ZHD
9602,東宝
4755,楽天
4704,トレンド
6098,リクルート
4751,サイバー
2413,エムスリー
